Filename: 2019-01-18 Rotation Phospho-flow Exp BAD Unstim_01_0_CD45_viSNE_UMAP_FlowSOM.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event #,Time,Event_length,75As,89Y_CD45,103Rh_Rh,138Ba_barium,139La,140Ce,141Pr,142Ce_CD19,143Nd,144Nd_p-PLCy2,145Nd_CD4 (v),146Nd_CD8a (v),147Sm_p-STAT5,148Sm_CD14,149Sm,150Sm,151Eu,152Sm,153Eu_p-STAT1,154Gd,155Gd,156Gd,157Gd,158Gd_p-STAT3,159Tb,160Dy,161Dy,162Dy,163Dy,164Dy,165Ho,166Er,167Er,168Er,169Tm,170Yb_CD3,171Yb,172Yb,173Yb,174Yb_HLA-DR (v),175Lu_p-STAT6,176Lu,190BCKG,191Ir_Ir,193Ir_Ir,194Pt,195Pt,209Bi_CD16 (v),Center,Offset,Width,Residual,tSNE1,tSNE2,UMAP1,UMAP2,cluster
32,102619.8672,19,0,432.9405212,0,58.51459122,0.370926172,0,0,0,0.476657689,1.333421707,0,4.600293159,0,0,0,0,0.181277454,0,0.336489379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.619013548,0,0.156191111,0.211200923,2026.942383,3697.037109,52.34631348,8.208836555,96.18154144,678.7780151,90.05400085,51.30500031,103.802002,12.69894695,106.3448715,7.929292679,-5.866818428,4
33,102623.8906,18,0,534.5256958,0,63.8944397,0.484536827,0,0,0,0,2.215824604,98.35255432,5.484968185,3.089885712,0,0,0,0,0,0.21564135,0,0,0,0,1.03000319,0,0,0.959976077,0,0,2.655863285,0,1.723473787,1.041394949,0,0,404.3811951,4.000059128,0.25750789,0,0,2.315286636,0,0.548847497,1766.255127,3179.341064,34.55844498,6.049917698,0,672.5759888,80.68000031,44.13999939,131.6649933,-27.01374054,-34.98304367,-9.58814621,4.398712635,7
34,102842.7969,16,0,610.5966797,0,52.06644058,0,1.07077384,0,185.1790314,1.492224574,8.460025787,0,1.974796414,1.268250585,0.293122739,0,0,0.270041376,0,0.741865516,0,0,0,0,2.202656269,0,0,0,0,0,0,0,0,0,0,0,0,0.64032644,0,0,91.31351471,0.141718641,0,0.863581479,1415.379883,2784.12915,19.95410919,5.618910313,0,595.4569702,90.87799835,44.64500046,118.3570023,-62.89982224,9.635315895,11.98295403,8.708192825,1
35,102844.6094,20,0.787942708,877.4122314,1.04028821,55.7615509,0,0,0,0.558257699,0,0,108.7798309,3.161477089,0,0,2.11901021,1.087955356,0.757467747,0,0,0,0,0,0,3.10323596,0,0,0.485210717,0,0,0,0.696790814,0,0,0,0,157.6985779,0,3.02054739,0,0,1.655193448,0,1.852581501,1820.637085,3361.029297,28.01290894,5.196950436,0,710.3099976,84.78099823,50.62099838,111.8619995,-13.10431957,-80.22113037,-6.488024235,3.093884945,7
36,102894.6875,20,0,571.7086182,0.465881556,75.10041809,0.918605864,0,0,0,0,0,58.82277298,0.202557266,0,1.582231998,0,0,0,0,0,0,0,0,0,2.064092636,0.455082923,0,0,0,0,0.934113622,0,0,0.022642342,0,0,46.75628662,0,1.370973706,0,0.850863278,5.980219364,0,1.793802142,1763.663574,3265.459229,19.98898888,9.078756332,1.441794276,782.947998,85.1230011,50.15800095,92.89199829,79.74617004,9.788870811,-3.025481701,0.649437308,7
37,102918.5547,21,0,573.5216675,0,70.87850952,0.319843531,0,0,0.750624776,0,0,3.340001106,162.7255402,5.771349907,3.249992847,0,0.052438978,0,0,1.467562199,0,0,0,0,0,0,0,0,15.83716679,1.127275705,0,0,0.435008734,0.456164479,1.586340666,0,210.2919617,0.400622129,0.520054698,0,6.319970131,5.105379105,0,2.036921263,1684.239136,3091.041992,37.93611526,0.168425158,0,696.8569946,87.18499756,55.29600143,123.8960037,-78.02526093,-16.15301895,-1.405184269,-12.09729481,9
38,102964.7891,18,0,440.9121399,0.457233131,49.7383461,0,0,0.793771565,0,0,5.631299496,0,3.258098364,4.55456686,0,0,0,0,0,0.940908909,0,0,0,0,0,5.365673542,0,0,0,1.121174216,0,0,0,0,3.310045481,1.184831738,126.0780945,0.613707483,0,0,0,7.787320614,0,1.745789289,1472.914185,3095.451904,40.61561584,7.329443932,0,626.4180298,86.21299744,45.92100143,83.86399841,7.013435841,47.89484024,-0.468382686,-6.013122559,8
39,102995.6875,16,1.182199836,168.4050598,0,58.45061874,2.575802088,0.816147625,0,0,0,2.245174408,0,0.810149789,2.459451437,0,0,0,0,0.393135905,0.588230252,0,0,0,0,0,0.569225848,0,0,0,0,1.142918706,0,0,0,0,0,1.700546145,0,0,0,5.195373535,4.966059685,0.812737226,0.620343745,1882.785889,3568.347168,31.36103249,4.767636299,61.41953278,665.6170044,101.7630005,47.91400146,51.43999863,40.18486023,74.72699738,8.30684948,-4.872819901,4
40,103034.8984,20,0,697.8292236,0,47.67199326,2.496032238,0,0,0,0,0,98.25524902,0.412963927,6.870804787,0.756403446,0,0,0,0,0.118298978,0,0,0,0,1.215066433,0,0,4.922588825,0,0,0,0,0,1.706459284,0.228549019,0,133.238266,0,0,0,1.308253765,1.330040216,0.357030034,0,1935.415527,3459.328857,34.43213654,6.015485764,3.845828056,716.0549927,91.90200043,54.56399918,89.11299896,26.1972332,-89.75857544,-4.673318863,4.093310833,7
41,103124.2734,19,0,599.4953613,3.998313427,48.69745255,0,0,0,0,0,1.282243013,10.62560177,0.835821211,0.486085325,213.6380615,2.166267157,0.839362204,0,0,4.296029091,0,0,0,0,4.451424122,0,0,0,0,0,3.302317858,0,0,0,0,0,1.24481225,0,0,0,16.96528435,0.901581764,0,0,2220.388916,4014.755615,31.18715286,7.843819618,0,652.9840088,94.01499939,53.3370018,87.8710022,-10.26342106,43.24534988,8.5119524,3.356610775,2
